"DDJHBH","GYSBM","YYBM","PSDBM","DDJHMXBH","YPBM","CGSL","CGDJ"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0044","127557","9990.000","30.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0045","133127","9990.000","36.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0046","118983","10.000","29.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0047","135253","9990.000","25.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0048","114577","9990.000","28.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0049","105019","9990.000","22.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0050","119023","9990.000","31.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0051","134659","10.000","35.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0052","119843","9990.000","34.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0053","119661","9990.000","36.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0054","119273","9990.000","35.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0055","119667","9990.000","38.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0056","111073","9990.000","32.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0057","116359","10.000","38.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0058","134089","9990.000","20.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0059","119827","9990.000","38.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0060","108235","10.000","30.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0061","129009","9990.000","26.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0062","120051","9990.000","26.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0063","108167","10.000","36.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0064","109407","9990.000","28.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0065","118597","9990.000","22.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0066","115341","9990.000","31.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0067","128421","9990.000","36.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0068","119843","10.000","34.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0069","103427","9990.000","32.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0070","130413","9990.000","36.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0071","136727","9990.000","20.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0072","111091","10.000","29.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0073","108517","9990.000","20.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0074","132897","9990.000","28.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0075","133167","10.000","32.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0076","108109","10.000","33.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0077","109437","10.000","25.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0078","134671","9990.000","37.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0079","127203","9990.000","32.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0080","134219","10.000","30.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0081","114323","9990.000","21.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0082","108523","10.000","31.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0083","128203","10.000","39.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0084","113151","9990.000","29.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0085","105343","10.000","20.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0086","133167","9990.000","32.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0087","118265","10.000","21.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0088","112699","9990.000","32.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0089","107277","9990.000","34.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0090","112973","9990.000","24.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0091","112969","10.000","32.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0092","107233","9990.000","36.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0093","109401","10.000","25.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0094","106271","10.000","39.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0095","109571","10.000","28.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0096","127693","10.000","30.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0097","131711","10.000","35.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0098","117615","9990.000","25.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0099","123148","9990.000","36.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0100","107241","10.000","23.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0101","108551","9990.000","25.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0102","119267","9990.000","36.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0103","111057","9990.000","36.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0104","130493","10.000","33.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0105","111041","9990.000","26.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0106","111051","9990.000","35.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0107","100433","9990.000","20.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0108","113241","9990.000","24.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0109","118985","9990.000","29.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0110","114169","9990.000","29.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0111","102541","510.000","32.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0112","102597","9990.000","37.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0113","114711","9990.000","25.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0114","101123","10.000","20.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0115","131719","10.000","38.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0116","106187","9990.000","37.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0117","104531","9990.000","21.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0118","101123","9990.000","20.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0119","109457","10.000","37.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0120","133823","9990.000","29.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0121","103431","10.000","33.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0122","124983","10.000","30.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0123","133003","9990.000","36.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0124","128425","9990.000","23.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0125","133023","9990.000","35.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0126","108153","9990.000","34.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0127","108557","10.000","26.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0128","127701","10.000","29.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0129","117429","9990.000","21.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0130","105923","9990.000","37.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0131","131717","9990.000","36.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0132","130005","10.000","35.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0133","109433","10.000","32.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0134","108507","9990.000","24.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0135","124015","10.000","26.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0136","114395","9990.000","32.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0137","100911","9990.000","21.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0138","100883","9990.000","39.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0139","113119","9990.000","28.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0140","112977","9990.000","26.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0141","106065","9990.000","24.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0142","133023","10.000","35.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0143","113787","10.000","39.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0144","130077","9990.000","20.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0145","101233","10.000","35.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0146","133129","9990.000","25.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0147","129387","10.000","23.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0148","105927","9990.000","36.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0149","106321","10.000","24.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0150","109537","9990.000","30.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0151","129429","10.000","28.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0152","133005","10.000","27.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0153","116351","10.000","39.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0154","101245","10.000","30.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0155","137861","9990.000","21.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0156","107233","10.000","36.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0157","119775","10.000","38.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0158","112689","9990.000","31.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0159","113823","9990.000","29.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0160","100969","10.000","23.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0161","124995","9990.000","33.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0162","109459","9990.000","38.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0163","120047","10.000","25.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0164","129387","9990.000","23.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0165","135291","9990.000","34.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0166","112961","10.000","23.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0167","113219","10.000","27.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0168","104517","10.000","36.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0169","106247","9990.000","26.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0170","136727","10.000","20.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0171","112965","9990.000","25.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0172","119261","9990.000","24.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0173","116123","10.000","25.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0174","103423","10.000","29.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0175","130029","9990.000","34.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0176","134135","10.000","20.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0177","106265","9990.000","25.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0178","114599","9990.000","26.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0179","103481","9990.000","36.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0180","123151","9990.000","33.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0181","132897","10.000","28.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0182","133015","10.000","31.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0183","132901","9990.000","24.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0184","126215","10.000","27.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0185","117941","9990.000","29.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0186","119663","10.000","37.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0187","120549","9990.000","33.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0188","124011","9990.000","34.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0189","105343","9990.000","20.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0190","132899","9990.000","22.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0191","123135","10.000","27.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0192","115891","9990.000","23.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0193","104481","10.000","32.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0194","107287","10.000","35.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0195","127691","10.000","31.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0196","123135","9990.000","27.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0197","133877","10.000","33.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0198","111083","9990.000","30.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0199","130895","9990.000","35.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0200","129441","9990.000","26.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0201","132753","10.000","28.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0202","106249","10.000","28.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0203","129637","10.000","33.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0204","104967","10.000","38.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0205","130905","10.000","35.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0206","131203","10.000","32.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0207","132903","10.000","24.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0208","123101","10.000","23.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0209","134447","10.000","20.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0210","128419","9990.000","37.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0211","124987","9990.000","31.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0212","114151","9990.000","30.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0213","119253","9990.000","24.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0214","123125","10.000","36.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0215","136731","9990.000","21.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0216","133133","10.000","21.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0217","129965","10.000","32.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0218","124641","10.000","21.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0219","133849","9990.000","26.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0220","108513","10.000","39.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0221","111535","9990.000","38.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0222","100054","10.000","29.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0223","126013","9990.000","26.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0224","127551","10.000","34.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0225","102561","8490.000","26.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0226","118965","10.000","20.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0227","134983","10.000","37.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0228","131711","9990.000","35.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0229","109405","10.000","27.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0230","130913","10.000","33.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0231","119937","10.000","29.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0232","131207","10.000","30.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0233","104527","10.000","39.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0234","127685","10.000","25.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0235","127189","10.000","29.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0236","111685","9990.000","21.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0237","101471","9990.000","29.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0238","119013","10.000","32.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0239","130695","9990.000","25.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0240","118209","10.000","20.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0241","103423","9990.000","29.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0242","129023","10.000","32.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0243","117639","10.000","38.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0244","118105","9990.000","35.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0245","130861","10.000","37.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0246","111781","10.000","35.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0247","127555","10.000","29.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0248","113787","9990.000","39.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0249","119813","9990.000","37.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0250","112689","10.000","31.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0251","118965","9990.000","20.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0252","108115","9990.000","23.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0253","127699","10.000","31.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0254","130089","10.000","30.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0255","130413","10.000","36.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0256","100921","10.000","20.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0257","130499","10.000","35.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0258","123139","10.000","37.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0259","130029","10.000","34.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0260","108537","10.000","39.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0261","119659","9990.000","35.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0262","127141","9990.000","27.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0263","112963","10.000","24.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0264","100965","10.000","24.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0265","114927","10.000","32.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0266","113795","10.000","27.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0267","136767","10.000","38.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0268","100921","9990.000","20.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0269","113119","10.000","28.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0270","106077","9990.000","26.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0271","119829","9990.000","36.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0272","110377","9990.000","33.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0273","101131","10.000","20.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0274","100979","9990.000","20.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0275","108233","9990.000","34.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0276","132753","9990.000","28.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0277","130915","9990.000","32.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0278","106211","9990.000","35.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0279","118961","9990.000","25.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0280","109379","10.000","26.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0281","101129","9990.000","22.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0282","108529","10.000","28.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0283","129431","9990.000","27.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0284","108511","10.000","26.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0285","128415","10.000","38.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0286","127609","10.000","21.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0287","120501","9990.000","25.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0288","111073","10.000","32.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0289","124953","10.000","32.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0290","130859","9990.000","36.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0291","131191","10.000","26.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0292","118219","9990.000","20.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0293","112687","10.000","30.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0294","106319","10.000","23.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0295","116787","9990.000","35.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0296","114711","10.000","25.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0297","107277","10.000","34.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0298","114937","9990.000","34.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0299","130451","10.000","34.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0300","133001","10.000","28.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0301","133007","9990.000","32.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0302","130901","9990.000","29.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0303","136713","10.000","34.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0304","130521","10.000","38.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0305","103901","10.000","24.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0306","118041","10.000","23.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0307","103763","9990.000","30.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0308","119663","9990.000","37.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0309","127209","10.000","26.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0310","116787","10.000","35.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0311","100031","9990.000","36.00"
"X2016101400000004","100001","455755610","45575561001","X2016101400000004-0312","131703","10.000","26.00"
